,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,醒醒我们回家了,10/3/2010 1:11,disgust,0.084000438,0.013615659,0.617435992,0.01460309,0.021397695,0.004226068,0.24472107,每到夜晚，心情都会很糟糕，就会有第二天去看医生的念头，不是想治好，而是好奇我现在到了什么程度，只是好奇而已…但到了第二天屁股却根本不想挪动了…晚上是脑袋可以各种想，白天是各种不做 ,海外 丹麦,f
1,醒醒我们回家了,10/4/2010 17:55,fear,0.13535963,0.117121838,0.023446893,0.017213672,0.152409956,0.008935159,0.545512855,我想去医院 谁能带我去医院 ,海外 丹麦,f
2,醒醒我们回家了,10/7/2010 8:52,anger,0.010871727,0.273568541,0.312971145,0.004235343,0.36208123,0.003603952,0.032668039,别给我加粉丝，烦。 ,海外 丹麦,f
3,醒醒我们回家了,10/9/2010 23:37,anger,1.5e-05,0.000473957,0.003702748,0.009437992,0.986341655,2.59e-05,2.82e-06,为什么对我这么好呢，想不通啊！想不通！我好感动好爱你啊！对我好的人我都爱你们！ ,海外 丹麦,f
4,醒醒我们回家了,10/18/2010 13:31,sadness,1.45e-07,0.998625875,2.38e-06,1.17e-05,2.65e-06,0.001343296,1.4e-05,原来放弃真的很容易，只是后悔很令人难过，打起勇气拾起也很困难。 ,海外 丹麦,f
5,醒醒我们回家了,10/26/2010 7:49,anger,0.002204863,0.097086817,0.065351836,0.300279319,0.483414471,0.048493173,0.003169487,吃各种药，各种疲惫 ,海外 丹麦,f
6,醒醒我们回家了,11/24/2010 23:36,anger,0.000825943,0.242110297,0.010723859,0.099652,0.638723671,0.007518947,0.000445267,谢特.疼死劳资了 ,海外 丹麦,f
7,醒醒我们回家了,6/5/2011 7:19,sadness,4.32e-07,0.999947309,3.5e-06,2.33e-06,4.54e-05,5.68e-07,4.48e-07,屋漏偏逢雨 我小腿疼死了却没有小车 ,海外 丹麦,f
8,醒醒我们回家了,6/5/2011 8:55,anger,0.10793145,0.06218081,0.26734072,0.003838315,0.516142845,0.038187481,0.004378399,我希望空调不要打这么低 我要被冻死了 但我不好意思跟徐陈讲 我真是个没用的东西 等阿姨来好了 ,海外 丹麦,f
9,醒醒我们回家了,6/5/2011 21:41,like,6.27e-05,0.002901515,0.002039379,0.166427985,0.002911977,0.825564325,9.22e-05,我傻傻喜欢你 但不会傻到你说什么都信 因为我还没有那么喜欢你 ,海外 丹麦,f
10,醒醒我们回家了,6/7/2011 15:06,sadness,5.37e-05,0.980810225,0.003451543,0.005533305,0.005154544,0.004944982,5.18e-05,我开始幻想自己是les 如果连男人都没有的话 给我个女人也好啊 ,海外 丹麦,f
11,醒醒我们回家了,6/14/2011 16:12,sadness,0.000331449,0.941893935,0.007948253,0.011652248,0.029943481,0.003986092,0.004244568,你是不是觉得我得不到结果就会永远的追求下去呢，不，我会好不羞愧的放弃 ,海外 丹麦,f
12,醒醒我们回家了,6/18/2011 23:09,anger,3.83e-05,0.035395913,0.002890275,0.000711363,0.96092236,2.93e-05,1.25e-05,“哎呀 小马走了就没人给我使唤啦怎么办”我擦尼玛→骂我自己 ,海外 丹麦,f
13,醒醒我们回家了,6/19/2011 21:48,happiness,0.004785793,0.0261927,0.014396763,0.815532625,0.015617085,0.122689784,0.000785254,都决定好了再来问我的意见 我又不是傻子 当然顺着你意思说咯 虽然我是傻子 ,海外 丹麦,f
14,醒醒我们回家了,6/20/2011 16:37,anger,4.18e-05,0.001108915,0.031852897,7.85e-05,0.966902018,3.75e-06,1.2e-05,从来不晓得检讨自己，所谓变态，原来也是遗传的 ,海外 丹麦,f
