ID,Published time,Sentiment,surprise,sadness,disgust,happiness,anger,like,fear,context,location,gender
卖火柴的小女孩01a,3/10/2014 17:53,sadness,2.05E-06,0.997845054,0.00023671,0.000132094,5.06E-05,0.001731922,1.64E-06,有谁会喜欢雾霭的天气呢？可我喜欢，我不喜欢晴空万里，不喜欢阳光普照，我喜欢雾霭，我特别喜欢北京雾霭的天气，因为雾霭，我有一种被隐藏起来的感觉，谁能理解一个抑郁症病人的心理？ 本来想等自己的病治好后，再为抑郁症这个群体做点什么，但今天，疾病的...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/10/2014 18:04,sadness,5.43E-06,0.999808371,8.46E-06,1.16E-05,0.000161059,1.59E-06,3.51E-06,现身网络求助，我是真不愿意啊，犹豫了好久，今天才发出来，但凡有一点办法，我也不会这样做，我理解那些有病没钱治疗的人出镜求助的无奈，可对我来说，即便匿名求助，都很不愿意，把自己的不幸拿出来展示，我觉得那是对自尊的一种蹂躏，即便私下发个私信求助...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/10/2014 18:22,sadness,0.000271941,0.734180689,0.002649043,0.003914545,0.253760666,0.005215968,7.24E-06,最初看到一位IT界人士，在微博中呼吁大家关爱抑郁症病人，于是给他发了一封私信，得到回应后把情况发给了他，他委托了他的女学生和我联系，说会委托媒体界的朋友帮我，她还说让我到她家里去，她一个人住，我想吃什么好吃的，她给我做，我怎么能到她家里去打扰...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/11/2014 17:25,sadness,4.47E-06,0.998656273,5.93E-05,0.00116519,1.21E-05,9.60E-05,6.49E-06,没有我的猫咪，我也许早已不在世上，可看到她每天和我过着颠沛流离、胆惊受怕的日子，我是真心疼啊！ ,北京 东城区,f
卖火柴的小女孩01a,3/11/2014 17:27,happiness,4.23E-05,0.006975585,0.000245605,0.991985202,0.000665774,7.34E-05,1.21E-05,这几天我的猫咪要找男朋友生儿育女，特别是晚上，压低声音一声声呼唤，压低声音是因为她也害怕，我对她说：我都没有男朋友，你找什么男朋友？可她不听，还是要找男朋友，我很害怕猫咪的动静引来我的不安全。有保安曾经跟踪过我，还好被我及时发现了，白天还好...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/11/2014 17:28,sadness,0.000256505,0.983407319,0.010138438,0.000927384,0.002351545,0.002848397,7.04E-05,我不知道我的出路在哪，每天愁到不行，我总会问我的猫咪：咪咪，你说该怎么办啊？告诉我该怎么办？她除了哀怨地看着我，什么忙都帮不上。 ,北京 东城区,f
卖火柴的小女孩01a,3/11/2014 17:30,happiness,4.60E-05,0.103549108,0.003973761,0.754825115,0.001019367,0.136534154,5.24E-05,我羡慕井底人，他们还有个健康的身体，有个井可以住，我什么都没有；我羡慕农民工，看到胡同里他们在空房子里打的地铺，我特别羡慕他们晚上可以安然地躺在那里睡觉，躺在地铺上睡觉是多么美好的一件事啊！我困得要死，想找到这样一个地方，可以安全舒适地睡上一觉，可找不到．．． ,北京 东城区,f
卖火柴的小女孩01a,3/11/2014 17:34,happiness,0.095618017,0.05669038,0.015214187,0.798163772,0.033191498,0.000800615,0.000321608,说起男朋友，白天没有地方呆时，我蜷缩在一地铁站外僻静避风处，一家单位的员工上班时总能看到我，有两个好哥们和我有过简单的交流，后来其中一个要和我谈男女朋友，他大我十多岁，是离异的，有房，北京人，为人正派，不是坏人，他可以为我提供住处，为我治病...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/12/2014 11:22,sadness,3.97E-07,0.99996841,5.27E-06,2.06E-06,2.37E-05,1.96E-07,3.65E-08,那天在马路边看到一只快要气绝身亡的老鼠，也许是边上饭店的人抓到后把它打成那样的，虽然外表没有任何伤情，但看到它快要不行微弱喘息的样子，我的眼泪瞬间流了下来：它该多疼啊！ 凭什么人类把它定为有害动物？所有的生命都是平等的，只不过现实世界是弱肉...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/12/2014 15:15,like,0.029987358,0.207075506,0.002916181,0.028471846,0.01064582,0.715210021,0.005693258,重申一遍，我的梦想：希望未来国家对精神类疾病免费医疗，在国家实行免费医疗前，创建一个抑郁症救助基金，专门用于救助贫困的抑郁症患者治病；现在的希望是，自己能尽快接受治疗，同时@nosure袁毅鹏 @停时 也能接受治疗就好了，谁能帮我完成这个梦想？ ,北京 东城区,f
卖火柴的小女孩01a,3/13/2014 12:29,sadness,5.24E-05,0.980122745,0.001009593,0.015597267,0.000550955,0.002460975,0.000205913,希望中国梦有我们这个群体一部分，有多个专家说，精神类疾病免费治疗是国际通用做法，中国做为世界第二大经济国，一贯执政为民，为什么不能和世界接轨呢？而不是像很多人，因为贫困得不到很好的治疗，每天痛苦不堪一天天挨着，直到挨不下去，无限绝望中，只有自己用结束生命的方式结束痛苦。 ,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:33,happiness,2.84E-05,0.006944602,0.000150355,0.992658436,0.000117244,5.70E-05,4.40E-05,好人和坏人的区别是，面对穷人、不幸的人、落难的人，好人会同情，甚至出手相助；而坏人会歧视你，甚至还想欺负欺负，因为他觉得欺负这样的人没有任何风险。在流浪的日子，我遇到过平凡普通的人给我的温暖，哪怕是点滴的温暖，我都心存感激，想有机会好好谢谢他们。而坏人，坏到什么程度，也是无法想象 ,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:35,happiness,4.08E-05,0.082615659,0.000475238,0.916054487,0.000647688,0.00016004,6.02E-06,有个北京老太太77岁，因为家庭困难，也因为个性太强，和自己的媳妇兑付不上来，一直在外面流浪，和她见第一面时，她捡的一堆破烂有报纸，放在那里而人不在，我就拿了她几张报纸垫着坐下了，她来后脸不是脸鼻子不是鼻子，斥责我拿了她的报纸，后来看到她大清早...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:36,happiness,0.015250401,0.000768604,4.90E-05,0.981202602,0.000334763,0.001612033,0.000782607,我好几次在不同的垃圾箱上面，捡到别人吃剩的还热乎的好好的馅饼包子之类的，我拿走时都会想，这该是怎样心地善良的人啊，他一定是特意放在外面而不丢进垃圾箱的，为了让有需要的人拿走。我都不知道他姓甚名谁，但对他心怀感恩。 ,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:37,happiness,0.18697755,0.007243976,0.007115996,0.752521753,0.001410328,0.031653408,0.013077096,我很羡慕@鲁若晴，她去世时，一定是怀着感恩之心和对这个世界满满的爱走的，而大多数贫困的病人，感受到的除了病痛的折磨，就是凄凉，像落叶面对秋风，对我来说，我想到4月1日这个日子，这个日子离开也是不错的选择，当人们每年纪念张国荣时，我是不是可以当作人们也在纪念我？ ,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:38,sadness,2.22E-08,0.999999166,8.66E-08,2.62E-07,4.14E-07,3.36E-08,1.90E-08,感谢您发十条微博关注抑郁症，“应该让他们去找专业医生”，可是如果因为抑郁症已经丧失劳动能力，因为治病陷入贫困，每天被疾病折磨得痛苦不堪，很想找专业的医生，却不能够，该怎么办呢？您能帮我们圆一个梦想吗？请关注一个“资深”的抑郁症患者@卖火柴的小女孩01a 一年北京的求助之路。,北京 东城区,f
卖火柴的小女孩01a,3/16/2014 13:39,happiness,0.000631484,0.001802396,0.001096766,0.96818471,4.52E-05,0.027153449,0.00108599,为了活下去，等到帮助，接受治疗，我付出了很大的努力。凡事尽力而为，便可死而无憾。 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:55,sadness,4.77E-06,0.999608934,2.33E-05,3.94E-05,0.000258169,4.98E-05,1.56E-05,失望，深深的失望，抑郁的情绪又重重地袭来．．．眼睛睁不开，困死了，眼皮打架，每一条症状都折磨得要死，咬牙坚持，继续坚持，不到最后一秒，不放弃。我要觉得4月1号之前，会得到帮助，您觉得我会吗？ ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:56,sadness,0.000543078,0.955125213,0.001349829,0.011632722,0.017106056,0.01418229,6.08E-05,其实我刚来在微博求助时，看到那个从事IT工作的老师在微博呼吁大家关爱抑郁症患者，我和他取得联系后，他安排他的女学生和我联系时，说会联系媒体界的朋友帮我，并和我一起憧憬了美好的前景，她有信心会帮到我，我也觉得很有希望，在那时，我就向她提出了也一...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:57,sadness,0.000118915,0.97780025,0.000210468,0.006565197,0.014849123,0.000424084,3.20E-05,其实没有得病前，我的性格就属于热心肠助人为乐的那种，爱打抱不平，很小的时候，您很难想到，做为一个女孩，我的梦想是会武功，会武功干嘛？匡扶正义啊，中学时，同学送外号“大侠”，因为有侠骨柔情、拔刀相助的风范，可今天，却像个被人打趴在地的拳击手，...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:58,sadness,1.24E-09,0.999999881,3.86E-08,4.85E-08,3.51E-08,7.63E-09,4.94E-10,没有哪种病像抑郁症一样，给人肉体和精神双重的折磨，最痛苦的是，它对你有一种精神的摧毁，看着好好的一个人，不缺胳膊少腿，得了这种病，连残疾人都不如，成了废人一个，因为只有一个人的驱壳，生活完全不能自理，在家时，我自己的房间就是狗窝，吃喝拉撒不...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:58,happiness,1.40E-05,0.000652773,0.000125127,0.99861896,0.000576644,1.10E-05,1.51E-06,得了抑郁症，还是会时不时露出“热心肠、助人为乐”的本性，特别是当我觉得有了希望，情绪就会有好转，这时候遇到别人有困难，我就会主动上前帮一把。 那是在年前了，路遇一个中年妇女在捣鼓一个装垃圾用的大黑塑料袋，里面装了好多书，你想，书多沉啊，塑料...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 11:59,sadness,5.90E-07,0.996181726,2.18E-05,0.003440176,0.000300986,5.40E-05,7.82E-07,精神的摧毁是，你每天除了痛苦，做人的任何感情，你都体会不到了，阅读和看电视，你体会不到里面任何的喜怒哀乐，因为只有抑郁一种情绪，我本来是一个特别容易感动的人，感动的情绪是多么美好的一种心理体验啊，可现在，本来应该感动的事，却体验不到了，还有...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 12:00,sadness,2.12E-06,0.999586165,0.000164334,3.54E-05,0.000155216,1.78E-05,3.90E-05,还有一种痛苦就是睡眠障碍，我最先的睡眠障碍是嗜睡，总觉得困，睡不醒，白天也困，病越重，越想睡，克制不了的睡，越睡病越重，恶性循环；后来又出现失眠，两种症状都来折磨，无论是嗜睡还是失眠，都把我折磨的痛苦不堪，还有其它五花八门的症状，都要把我折磨死了，如果不能得到治疗，死是唯一解脱 ,北京 东城区,f
卖火柴的小女孩01a,3/19/2014 12:00,sadness,1.07E-09,0.999999881,9.78E-09,4.13E-08,7.48E-08,6.16E-09,6.87E-10,有过这种情况，我看到饭，就像瘾君子看到毒品，忙不迭的吃，那实在是很恐怖的一件事，也很痛苦，肚子就像个无底洞，但过后会撑得难受，其实这是抑郁症的一个症状，现在也是，无论吃多少，都吃不饱，总觉得饿，因为肠胃功能完全坏了。抑郁症病人躯体的症状可能...畅读版【O网页链接】 ,北京 东城区,f
卖火柴的小女孩01a,3/21/2014 11:45,sadness,0.079855189,0.85115695,0.016919078,0.002812282,0.04789589,0.000558448,0.000802138,想写的东西很多，发的微博没有效果，对我打击很大，抑郁的情绪蔓延全身，想写得东西写不出来，本来因为抑郁症，记忆力已经完全丧失，脑子锈掉了，思维变得迟钝，这样的症状不痛不痒，但很痛苦，而原来，我的文思常常如泉涌，下笔如有神助。现在还能写点东西，还可以凑合看，全靠原来那点底子啊。 ,北京 东城区,f
卖火柴的小女孩01a,3/21/2014 12:15,sadness,5.21E-09,0.999997497,1.71E-06,5.82E-07,1.15E-07,1.63E-07,1.16E-08,尽管抑郁，尽管痛苦，咬牙坚持，我除了自救，还想治好了以后帮助更多的抑郁症患者呢，我有一颗热心肠，还有英雄情结呢，唉，什么英雄情结，热心肠倒是真的，最主要的，我知道这个病给人造成多大的痛苦，我不希望别人像现在的我一样，每天生活在地狱里，人不人，鬼不鬼。 ,北京 东城区,f
卖火柴的小女孩01a,3/21/2014 12:31,surprise,0.848592877,0.03748551,0.016923813,0.017150223,0.076133817,0.003124274,0.000589466,我还要多发点微博，4月1号张国荣忌日那天离开，如果将来哪个记者像写@走饭 和@sienna赛娜 的离开一样来写我，也有点素材呀，我苦笑了．．．唉，不会离开以后，还这么凄凉，连写我的人都没有吧？所以我选择4月1号，这是多么好的日子啊，我要跟张国荣沾沾光，反正人们那天纪念他，我就当人们也在纪念我。 ,北京 东城区,f
