,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,sienna赛娜,8/23/2011 7:13,sadness,0.014774687,0.753544092,0.147347495,0.036946971,0.023686783,0.023639584,6.04e-05,现在觉得生活的负担越来越重，要上校内上开心上微博上QQ上MSN上Skype，出了国还要非死不可，再注册个Google+，一天的空闲时间完全不够分，感觉现在每个人都是一个小型公关公司，不停地营销自己 ,北京 朝阳区,f
1,sienna赛娜,8/23/2011 7:14,happiness,7.49e-05,0.060773473,0.002576543,0.935517311,0.000672626,0.000357106,2.81e-05,地铁里听到某男打电话给自己92年的表妹安排相亲，雷倒之后一想，其实上下五千年，至少四千九百五十年姑娘们都是二十之前出嫁的，高考完相亲，大一配对大二相处大三订婚大四办事，父母之命媒妁之言早婚早育是不变的王道，像咱这样二十四五没着落的高龄剩女，古时候只好出家，现在只好出国了…… ,北京 朝阳区,f
2,sienna赛娜,8/31/2011 21:52,anger,0.039491136,0.030047763,0.310617864,0.003252944,0.561884522,0.011537161,0.043168634,感觉从图片来看烫金文字的质感不够高端，另外整个网站感觉金色用的太泛滥了，虽然感觉很奢华，却无形中提升了年龄感——另外，真的有点像鞋盒,北京 朝阳区,f
3,sienna赛娜,8/31/2011 22:03,sadness,0.126510262,0.654486537,0.015350804,0.093163185,0.031240355,0.078674629,0.000574164,一直觉得企业的水平和老板的素质密不可分，ZARA是很时尚的品牌，但是毕竟老板的教育经历有限，好处是胆子大，想象力不受限制，坏处就是在利润的诱惑下容易放弃基本道德。中国很多企业其实也有类似的状况,北京 朝阳区,f
4,sienna赛娜,8/31/2011 22:38,sadness,0.269916356,0.270814598,0.066162832,0.044998512,0.120579116,0.212816402,0.014712197,谁能解释一下粉丝的意义…… ,北京 朝阳区,f
5,sienna赛娜,8/31/2011 22:50,sadness,0.009783824,0.987889588,0.000363429,0.000342265,0.001190328,0.000417294,1.33e-05,"图片上看不出细节，直观的感受：形状可以调整的不那么像鞋盒，用哑光、高光而不是平光纸，“尚品网shangpin""字样色调调暗些，烫金质感提高，位置不要放在正中央，其实可以设计一个品牌LOGO用暗纹的方式在包装上体现出来，然后把网站中英文名称移到正面偏下，或者包装盒开启处，封签、丝带、内包装等。",北京 朝阳区,f
6,sienna赛娜,8/31/2011 22:55,happiness,0.097601712,0.022363804,0.224668369,0.588966966,0.064570397,0.001418627,0.000410177,其实如果没有LOGO，用特殊字体把”尚“字LOGO化也不错，感觉把网站全称和Slogan全部印在正面正中不够高级，至于英文，考虑到国外用户人数没那么多，而且外国人也满喜欢汉字，LOGO只使用一个中文字完全可以，最多加个拼音或者SPW这样比较简洁，当然这只是我自己的看法。,北京 朝阳区,f
7,sienna赛娜,9/1/2011 3:44,anger,0.000521553,0.003278213,0.009560554,0.012938439,0.973371744,0.000241922,8.76e-05,回复@Camila卡蜜拉:新婚姻法之后估计中国也会出现这样的苗头。还是你好，不受限啊。 //@Camila卡蜜拉:剩女的问题无独有偶，举世皆然，求靠谱熟男一枚！for detail: O网页链接,北京 朝阳区,f
8,sienna赛娜,9/1/2011 6:10,happiness,0.000288616,0.002760617,0.004693865,0.772441626,0.015825212,0.203934997,5.51e-05,跳舞的纸片人们，模特们要是能稍带点笑就好了,北京 朝阳区,f
9,sienna赛娜,9/1/2011 6:46,sadness,4.22e-05,0.997973025,0.001639688,4.32e-05,3.28e-05,0.000263193,5.88e-06,看到人家微博里写：XX媒体提到XX公司XX新闻，引用XX观点，XX请查收！怎么好像在外企实习时收到CC给全组的工作邮件，话说，如果不是和工作有关，注册微博的人八成没这么多，当中国的白领真不易 ,北京 朝阳区,f
10,sienna赛娜,9/1/2011 6:55,anger,0.01808071,0.001723102,0.310273439,0.041978721,0.583858788,0.043910291,0.000174967,周迅扮酷没成功，巩俐气场强悍唇色苍白，汤唯发型失败衣服显胸平，张雨绮造型严重风尘，紫琼不错但是色系过于单调，小章没什么明显的缺点，中规中矩吧,北京 朝阳区,f
11,sienna赛娜,9/1/2011 7:21,anger,0.006690237,0.033038761,0.044558853,0.01868847,0.894377232,0.001780878,0.000865657,忽然发现眼下火热的各大时尚购物网站完美地把IT和时尚两大盛产单身人士的行业整合得每天低头不见抬头见，真是功德无量 ,北京 朝阳区,f
12,sienna赛娜,9/2/2011 0:48,disgust,1.88e-05,2.36e-06,0.999781907,0.000114486,7.22e-05,1e-05,2.64e-07,Galliano把Dior的魂儿带走了吧，这还是Dior么？！感觉整个秀没个中心思想，像是给Lady Gaga高定的。不过中间几个模特的妆容让我找到了Hold姐的灵感来源,北京 朝阳区,f
13,sienna赛娜,9/2/2011 1:02,sadness,0.057109397,0.911319256,0.021425277,0.008800961,0.000527406,0.000753356,6.43e-05,施华洛世奇诞生在捷克发展在奥地利，和德国米有关系哦~,北京 朝阳区,f
14,sienna赛娜,9/2/2011 1:05,disgust,0.154292986,0.24669297,0.259983033,0.075170197,0.101470888,0.15461804,0.007771872,感觉像娶明星回家，不仅要娶得起，还得养得起，我芳草萋萋的心平静了…… //@世界与裤子:各部门注意，这不是演习，这不是演习。 //@苗炜:五万够买一个比亚迪了吧？ //@Wang扣扣:@霍霍霍霍霍 看看唄 //@RichardLiu倬匀:,北京 朝阳区,f
15,sienna赛娜,9/2/2011 1:19,happiness,0.00603283,0.166000456,0.008602023,0.749707401,0.006268608,0.062922873,0.000465779,本来都要睡了，笑了一通倍儿精神，真是教科书版的毒舌大作,北京 朝阳区,f
16,sienna赛娜,9/4/2011 22:15,anger,3.46e-05,0.00011543,0.001140303,0.497620046,0.499653935,0.001366695,6.89e-05,太同意了，北京的服务业水准全国可以倒数，打十次车有五次被逼到开口吼司机，四次在心里默默吼司机。,北京 朝阳区,f
17,sienna赛娜,9/7/2011 3:18,happiness,0.003185435,0.005435083,0.014058572,0.780573487,0.162104562,0.034613922,2.89e-05,"回复@Camila卡蜜拉:感觉Chloe不是很适合探戈，太简约了，没有那种情感很激烈，性感的意味，就像黑天鹅女主角一样，美的不食人间烟火，但也激不起别人的欲望 //@Camila卡蜜拉:说实在的，Chloé 这一系列服装如果用《太极探戈（""流云道"" 在阿根廷探戈的应用）》来表现诠释，效果可能比现代舞还",北京 朝阳区,f
18,sienna赛娜,10/23/2011 23:57,sadness,0.154160276,0.684436023,0.082164004,0.010328236,0.066083394,0.002552871,0.000275312,在建外soho遭遇这辈子见过最差的店员，表情到语调到态度都在对顾客说着“快滚”俩字，本来想买店里五件东西，被她完全搞没有了购买欲，如果不是一条裤子实在很特别价格也很好，直接摔门而出。渐渐地觉得现在买衣服像在买画了，纯因为漂亮特别，根本不考虑需不需要，出现购物狂的早期症状了 ,北京 朝阳区,f
