,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,yan482,10/16/2015 21:33,anger,2.5e-05,0.13555263,0.037520021,0.014969928,0.746872663,0.06502974,3e-05,不试试牧师吗😉 //@赤城桑吃吃吃:玩战士//@乌鸦之翼Morrighan:五十六个玩家 五十六个法 五十六个法师里面一半是奥法 五十六个技能 只用三个打 奥术冲击 奥术飞弹 奥术强化//@狗文控: 你该玩奥法，到100级都3个技能打//@Erdos-战姬绝唱SymphogearGX: 转发微博,其他,m
1,yan482,10/16/2015 21:36,anger,6.87e-07,3.48e-05,0.000101211,7.6e-06,0.999855042,4.75e-07,1.36e-07,神父加速成功到达天堂的dio？ //@SherryLive:dio爷又进化了//@风月云雪drei: 屌爷被神父送进了天堂//@SinfoniaRO: 。等等，世界好像还真是完蛋了//@SinfoniaRO: 这货都能上天堂世界完蛋了啊...//@绅士Chalice-这跟说好的不一样啊: THE WORLD OVERHEAVENwwwwwwwwwww//@苍火坠: 屌！,其他,m
2,yan482,10/16/2015 21:37,like,0.181174263,0.056199457,0.050635111,0.128866613,0.033318359,0.494610667,0.055195544,等会。。。局座,其他,m
3,yan482,10/16/2015 22:06,happiness,9.45e-08,2.17e-06,9.45e-07,0.999994874,1.21e-07,1.68e-06,9.99e-08,末日——降临！！ //@乌鸦之翼Morrighan:瓦里安：//@SinfoniaRO: 哈哈哈哈哈,其他,m
4,yan482,10/17/2015 7:39,like,9.31e-05,0.008386729,0.038429685,0.095322147,0.000857278,0.85621804,0.000693015,转发微博,其他,m
5,yan482,10/17/2015 7:45,sadness,8.66e-05,0.973856926,0.011400741,0.012324867,0.001910916,0.000418275,1.65e-06,哪天3D打印普及了，是不是就会有建模师卖数据，然后大家都自己在家做手办了 ,其他,m
6,yan482,10/17/2015 15:30,happiness,4.75e-05,0.007039187,0.018275805,0.776365459,0.19780457,0.000457796,9.55e-06,1 //@赤城桑吃吃吃:4 //@调整师浅夏:4蟹蟹,其他,m
7,yan482,10/17/2015 17:19,disgust,0.002119417,0.008199049,0.937886,0.000209084,0.030712573,0.016853346,0.004020509,确定这活动没有被告吗 //@濑川佑太-鬼舅:啧啧//@ABHAR: ……//@Mr_hana: 丧病,其他,m
8,yan482,10/17/2015 17:20,sadness,0.014579279,0.626237571,0.005699378,0.000143536,0.039276864,0.312027812,0.00203561,//@Evan揚-努力赶稿的战士://@孙渣: 太可怕了//@番茄教父__Lino:太棒了 //@大反派hshs:如此清晰的思路…,其他,m
9,yan482,10/17/2015 17:22,happiness,4.54e-07,4.17e-05,4.23e-05,0.99990654,9.01e-07,8.13e-06,8.41e-08,想起那个cp漫画了😉 //@濑川佑太-鬼舅:哈哈哈哈哈哈哈哈//@博物杂志: 瓜子，花生，薯片，鱼骨头，辣椒油。请右边道歉//@江宁公安在线: 购买药品应选择正规药品。这种三无产品还是算了吧，天知道里面泡的什么东西。不信你问@博物杂志 ，他都不知道这里面泡的是啥,其他,m
10,yan482,10/17/2015 18:05,sadness,0.027670506,0.750116467,0.022845104,0.008287122,0.182219043,0.005482398,0.003379352,室友用附近的人约了个没进过的妹子（但看过照片）出去打台球，让我过去凑个数，因为对方也有个室友。他们已经在网上聊了很久。一见面我这辈子都忘不了室友的反应 ,其他,m
11,yan482,10/17/2015 18:25,happiness,2.58e-06,7.67e-06,1.46e-05,0.999884725,5.98e-06,8.04e-05,4.1e-06,太残忍了！ //@子猫氏:飞呀//@专门调戏舰娘的萌豚提督:@子猫氏 //@立派的一航戰赤城桑: //@姬神Black: 飞了……//@咚咚呛-Hiddleston: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈我的天 //@康桥国庆:不错,其他,m
12,yan482,10/17/2015 22:35,anger,0.029892085,0.084463067,0.164596111,0.017858841,0.699270844,0.000741421,0.003177705,卧槽，给跪最多只拿过3杀,其他,m
