,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,卖火柴的小女孩01a,3/10/2014 17:53,sadness,2.05e-06,0.997845054,0.00023671,0.000132094,5.06e-05,0.001731922,1.64e-06,有谁会喜欢雾霭的天气呢？可我喜欢，我不喜欢晴空万里，不喜欢阳光普照，我喜欢雾霭，我特别喜欢北京雾霭的天气，因为雾霭，我有一种被隐藏起来的感觉，谁能理解一个抑郁症病人的心理？ 本来想等自己的病治好后，再为抑郁症这个群体做点什么，但今天，疾病的...畅读版【O网页链接】 ,北京 东城区,f
1,卖火柴的小女孩01a,3/10/2014 18:04,sadness,5.43e-06,0.999808371,8.46e-06,1.16e-05,0.000161059,1.59e-06,3.51e-06,现身网络求助，我是真不愿意啊，犹豫了好久，今天才发出来，但凡有一点办法，我也不会这样做，我理解那些有病没钱治疗的人出镜求助的无奈，可对我来说，即便匿名求助，都很不愿意，把自己的不幸拿出来展示，我觉得那是对自尊的一种蹂躏，即便私下发个私信求助...畅读版【O网页链接】 ,北京 东城区,f
2,卖火柴的小女孩01a,3/10/2014 18:22,sadness,0.000271941,0.734180689,0.002649043,0.003914545,0.253760666,0.005215968,7.24e-06,最初看到一位IT界人士，在微博中呼吁大家关爱抑郁症病人，于是给他发了一封私信，得到回应后把情况发给了他，他委托了他的女学生和我联系，说会委托媒体界的朋友帮我，她还说让我到她家里去，她一个人住，我想吃什么好吃的，她给我做，我怎么能到她家里去打扰...畅读版【O网页链接】 ,北京 东城区,f
3,卖火柴的小女孩01a,3/11/2014 17:25,sadness,4.47e-06,0.998656273,5.93e-05,0.00116519,1.21e-05,9.6e-05,6.49e-06,没有我的猫咪，我也许早已不在世上，可看到她每天和我过着颠沛流离、胆惊受怕的日子，我是真心疼啊！ ,北京 东城区,f
4,卖火柴的小女孩01a,3/11/2014 17:27,happiness,4.23e-05,0.006975585,0.000245605,0.991985202,0.000665774,7.34e-05,1.21e-05,这几天我的猫咪要找男朋友生儿育女，特别是晚上，压低声音一声声呼唤，压低声音是因为她也害怕，我对她说：我都没有男朋友，你找什么男朋友？可她不听，还是要找男朋友，我很害怕猫咪的动静引来我的不安全。有保安曾经跟踪过我，还好被我及时发现了，白天还好...畅读版【O网页链接】 ,北京 东城区,f
5,卖火柴的小女孩01a,3/11/2014 17:28,sadness,0.000256505,0.983407319,0.010138438,0.000927384,0.002351545,0.002848397,7.04e-05,我不知道我的出路在哪，每天愁到不行，我总会问我的猫咪：咪咪，你说该怎么办啊？告诉我该怎么办？她除了哀怨地看着我，什么忙都帮不上。 ,北京 东城区,f
6,卖火柴的小女孩01a,3/11/2014 17:30,happiness,4.6e-05,0.103549108,0.003973761,0.754825115,0.001019367,0.136534154,5.24e-05,我羡慕井底人，他们还有个健康的身体，有个井可以住，我什么都没有；我羡慕农民工，看到胡同里他们在空房子里打的地铺，我特别羡慕他们晚上可以安然地躺在那里睡觉，躺在地铺上睡觉是多么美好的一件事啊！我困得要死，想找到这样一个地方，可以安全舒适地睡上一觉，可找不到．．． ,北京 东城区,f
7,卖火柴的小女孩01a,3/11/2014 17:34,happiness,0.095618017,0.05669038,0.015214187,0.798163772,0.033191498,0.000800615,0.000321608,说起男朋友，白天没有地方呆时，我蜷缩在一地铁站外僻静避风处，一家单位的员工上班时总能看到我，有两个好哥们和我有过简单的交流，后来其中一个要和我谈男女朋友，他大我十多岁，是离异的，有房，北京人，为人正派，不是坏人，他可以为我提供住处，为我治病...畅读版【O网页链接】 ,北京 东城区,f
8,卖火柴的小女孩01a,3/12/2014 11:22,sadness,3.97e-07,0.99996841,5.27e-06,2.06e-06,2.37e-05,1.96e-07,3.65e-08,那天在马路边看到一只快要气绝身亡的老鼠，也许是边上饭店的人抓到后把它打成那样的，虽然外表没有任何伤情，但看到它快要不行微弱喘息的样子，我的眼泪瞬间流了下来：它该多疼啊！ 凭什么人类把它定为有害动物？所有的生命都是平等的，只不过现实世界是弱肉...畅读版【O网页链接】 ,北京 东城区,f
9,卖火柴的小女孩01a,3/12/2014 15:15,like,0.029987358,0.207075506,0.002916181,0.028471846,0.01064582,0.715210021,0.005693258,重申一遍，我的梦想：希望未来国家对精神类疾病免费医疗，在国家实行免费医疗前，创建一个抑郁症救助基金，专门用于救助贫困的抑郁症患者治病；现在的希望是，自己能尽快接受治疗，同时@nosure袁毅鹏 @停时 也能接受治疗就好了，谁能帮我完成这个梦想？ ,北京 东城区,f
