,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,杨匪匪匪,6/14/2016 16:02,sadness,0.093479663,0.181262627,0.16359365,0.178812668,0.150423929,0.157345846,0.075081557,瘦肉粥 ,其他,f
1,杨匪匪匪,7/4/2016 8:26,sadness,8.03e-07,0.997929335,2.43e-05,0.000906062,3.8e-05,0.000996605,0.000104839,“有情不必终老，暗香浮动恰好。” ,其他,f
2,杨匪匪匪,7/15/2016 9:19,sadness,0.000219457,0.669955909,0.015575868,0.310421944,0.000330676,0.003455587,4.05e-05,“你告诉我肉有多好吃以后，我就当不了小和尚了。可是你转身离开，告诉我这样才算是修行。” ,其他,f
3,杨匪匪匪,7/18/2016 0:17,happiness,0.002000568,0.003123864,0.00745586,0.963932037,0.001883544,0.021159898,0.000444173,太美的承诺只是因为还没开始煎。 ,其他,f
4,杨匪匪匪,7/20/2016 11:31,happiness,0.000712942,0.000389208,0.001545981,0.922510564,0.000149364,0.074533686,0.000158242,“让我偷偷看你，在你回眸的微风里” ,其他,f
5,杨匪匪匪,9/3/2016 17:34,anger,0.000660511,0.342182755,0.00559726,0.000758788,0.649941325,0.000587205,0.000272153,什么玩意 ¡查看图片,其他,f
6,杨匪匪匪,9/4/2016 19:34,like,0.016174722,0.098753758,0.21344009,0.194516048,0.099922873,0.320780694,0.056411836,黄昏。 ,其他,f
7,杨匪匪匪,9/6/2016 17:08,sadness,1.39e-05,0.921635985,0.020479953,0.013630966,0.044046305,0.000168865,2.4e-05,“这人生似死水一潭，唯你是惊波微澜” ,其他,f
8,杨匪匪匪,10/16/2016 14:11,sadness,0.001122318,0.874429166,0.004601359,0.005399558,0.000692132,0.113321096,0.000434366,有时候感觉自己活得失败 那些锁骨放硬币 胸托手机 还有A4腰 我一个都不行 我除了长得好看 一无是处 ,其他,f
9,杨匪匪匪,10/29/2016 12:41,anger,0.000279831,0.231392831,0.002109121,0.00299098,0.727481246,0.035667129,7.89e-05,这三个作者好鬼畜啊 ,其他,f
10,杨匪匪匪,11/5/2016 19:09,like,0.032981023,0.184242129,0.021316046,0.142433763,0.067128293,0.524089873,0.027808851,父爱如山 ,其他,f
11,杨匪匪匪,11/8/2016 16:27,sadness,0.00148298,0.514977455,0.021579398,0.41759187,0.025826685,0.013912654,0.004628934,分享图片 ,其他,f
12,杨匪匪匪,11/11/2016 19:51,happiness,0.000130632,8.84e-05,0.000244387,0.984463692,0.006001834,0.009056029,1.51e-05,成功被淘宝认为是有钱人 ,其他,f
13,杨匪匪匪,11/15/2016 11:02,happiness,0.000510593,0.061596133,0.000433598,0.870283723,0.04473957,0.02220287,0.000233571,好漂亮 ,其他,f
14,杨匪匪匪,11/18/2016 20:08,happiness,0.012674561,0.001453735,0.041129094,0.637837231,0.031061038,0.274976283,0.000868136,我学会了一个情绪管理的方法在玩王者荣耀的时候敷面膜 ,其他,f
15,杨匪匪匪,11/18/2016 22:39,sadness,0.020404914,0.715896964,0.082200624,0.010145214,0.031719193,0.137174323,0.00245881,偶尔会怀疑2000粉丝是别人偷偷给我买的僵尸粉 ,其他,f
16,杨匪匪匪,12/6/2016 18:26,anger,0.000362985,0.047987979,0.140285149,0.005100867,0.784351528,0.021796936,0.000114647,一周多没上微博微博自动给我关注了一群美容博主 ,其他,f
17,杨匪匪匪,12/17/2016 10:15,happiness,2.94e-06,8.48e-06,0.000194988,0.999400377,1.17e-05,0.000380615,9.11e-07,土嗨的真谛 ,其他,f
18,杨匪匪匪,1/17/2017 21:00,anger,0.004446444,0.027736012,0.032299474,0.020498365,0.71254909,0.202239543,0.000231092,微博的用处对我而言就是看撕逼吧 ,其他,f
19,杨匪匪匪,1/18/2017 10:44,happiness,0.00024759,0.000257085,0.000601369,0.990679085,1.17e-05,0.007800581,0.000402558,感动中国！ ,其他,f
20,杨匪匪匪,1/19/2017 23:19,sadness,0.000373516,0.965987563,0.000701872,0.022942999,0.00962304,0.000341107,2.99e-05,每次听见别人装逼而我不得不听的时候。我就会深深的皱眉，抿嘴。然后啧一下。说“我感觉我做不到你这样”每次都能撑过去。后来工作，面对老板。加台词“我感觉以您的魄力，做到这样很容易”...展开全文c,其他,f
21,杨匪匪匪,1/27/2017 23:11,happiness,0.026119128,0.097376429,0.010538192,0.676387668,0.157556623,0.018281357,0.013740578,两首情歌都是男男对唱 ,其他,f
22,杨匪匪匪,1/30/2017 16:11,anger,0.001040992,0.488177568,0.01324057,0.00139934,0.492885858,0.003243088,1.25e-05,为了迎合他人而做出的三观这种三观又叫“群众怎么观 我就怎么观” ,其他,f
23,杨匪匪匪,1/30/2017 22:17,anger,0.002228398,0.06636098,0.031405646,0.004815985,0.888655066,0.004166025,0.002367891,听完我要废了 ,其他,f
24,杨匪匪匪,1/31/2017 21:43,happiness,0.008053961,0.025636278,0.140964448,0.301825762,0.227700755,0.295553982,0.000264823,希望在过十年你们一个个的结婚的和我晒娃结婚不想要孩子的 天天烦我给我秀恩爱而不婚主义的能经常发各个国家的定位...展开全文c,其他,f
25,杨匪匪匪,2/1/2017 0:01,sadness,0.003881234,0.621376932,0.112351961,0.015936488,0.228363127,0.010028701,0.008061538,不爱钱财的美少女人设失败了我很难过 ,其他,f
26,杨匪匪匪,2/1/2017 14:10,anger,2.52e-05,7.75e-05,0.000435576,0.000263436,0.999167681,3.02e-05,3.33e-07,我妹看完三生三世哭了说毁了原著我想安慰一下她我说你原著也是抄袭的彼此彼此吧...展开全文c,其他,f
27,杨匪匪匪,2/1/2017 18:40,disgust,0.025892098,0.010491368,0.872514009,0.0095352,0.070418946,0.010538437,0.000610045,发个自拍只露眼睛必戴口罩的人除了下半张脸缺少可能就是丑了 ,其他,f
28,杨匪匪匪,2/1/2017 23:16,happiness,0.000624102,0.088882968,0.083218537,0.487614453,0.002037704,0.336591572,0.001030646,新年新愿望，希望野鸡少上网。 ,其他,f
