,username,time,sentiment,surprise,sadness,disgust,happiness,anger,like,fear,content,location,gender
0,神医空八空,4/1/2011 6:32,disgust,0.122893058,0.301178038,0.321612984,0.015819332,0.219184503,0.005231176,0.014080907,"...睡觉去,愚人节这种东西我不认识 ",陕西 西安,f
1,神医空八空,7/14/2011 22:09,like,0.437865674,0.014684633,0.011723909,0.017803725,0.004623289,0.507499576,0.005799178,暂时用不着...还是马!感谢!//@红铃准备改名：马下来，谢谢！XD//@LinPlus：jm姐真棒！//@四十八分算潮：♪,陕西 西安,f
2,神医空八空,9/15/2011 19:23,disgust,0.000404342,0.000255647,0.994721413,0.000151242,0.004126333,0.000330394,1.06e-05,码//@三品不良：一看到就头疼了……//@JeanTse：@三品不良 //@買單唔該：码下XD //@于柚柚:嗯嗯普及下，想省钱页码是开数的倍数最好了w,陕西 西安,f
3,神医空八空,9/15/2011 21:43,disgust,0.001370888,2.95e-05,0.962056994,0.000170527,0.033997148,9.21e-05,0.002282819,难道不是透明的吗......不是透明的吗........?!,陕西 西安,f
4,神医空八空,5/31/2012 16:54,sadness,0.000168581,0.483760476,0.046298742,0.010225886,0.453753918,0.005386097,0.000406341,怪甚么拖延症...活该...都是活该啊...... ,陕西 西安,f
5,神医空八空,9/25/2012 16:40,happiness,0.000884514,0.202984944,0.369380772,0.377864778,0.047546793,0.001010495,0.000327823,根本打不过嘛!!(摔牌组(。,陕西 西安,f
6,神医空八空,1/22/2013 10:59,anger,0.002014583,0.017438786,0.136888236,0.126735449,0.69756186,0.018342121,0.001018979,简直棒得我神志不清............,陕西 西安,f
7,神医空八空,1/25/2014 18:08,happiness,5.59e-09,3.12e-08,3.62e-08,0.999999881,1.8e-09,1.36e-07,4.67e-10,这个真是贴心实用...我的小伙伴压力会减轻很多【邓布利多摇摇头.gif,陕西 西安,f
8,神医空八空,2/14/2014 9:11,happiness,1.24e-05,2e-05,0.000190786,0.999100804,0.000531596,0.000144044,4.34e-07,3万啦大叔你还活着吗wwww//@露耀菊: -叔儿你在哪儿呢你坚持住啊！-大侄儿我被…咕嘟咕嘟…淹没在转发里啦！ //@-Natsu夏-:来围观被轮番的大叔【喂,陕西 西安,f
9,神医空八空,3/7/2014 17:14,anger,0.000237733,0.012999023,0.078536153,0.019542931,0.581913233,0.306546122,0.000224783,啊啊啊啊啊啊啊好生酷炫!!!(绕圈儿奔跑,陕西 西安,f
10,神医空八空,3/11/2014 22:50,disgust,0.009570115,0.117320649,0.566469491,0.023538986,0.252695441,0.027542301,0.002862944,啊!!!啊!!!!!啊!!!!!!!!!!!!!!!!!(说人话,陕西 西安,f
11,神医空八空,3/24/2014 21:09,happiness,0.000718293,0.246593744,0.081104673,0.657515109,0.011549801,0.002462056,5.64e-05,樱汪共赏//@猫他民: 赏汪,陕西 西安,f
12,神医空八空,1/11/2015 15:36,happiness,0.00300354,0.05340286,0.008419296,0.906977654,0.000771151,0.026184348,0.0012412,真好,陕西 西安,f
